13312,(same as u+4e18 丘) hillock or mound | cjk ideograph
14636,(same as 恚) full of anger and vexation, rage; hatred; to hate; to bear a grudge against; animosity | cjk ideograph
14637,(simplified form of 憍) (same as 驕) untamed; intractable; disobedient | cjk ideograph
14638,an error; a blunder, to cheat; to swindle; to defraud, confused; deceit; to deceive | cjk ideograph
14639,clever or smart in a small way, memory or recollection | cjk ideograph
14640,(same as 怍) to be ashamed; mortified; chagrined, to change color; to blush | cjk ideograph
14641,anger; passion; rage, to wait, to cheat; to swindle | cjk ideograph
14642,to think; to contemplate; to consider, to pant because of fear | cjk ideograph
14643,to depend on | cjk ideograph
14644,to move the mind; agitated; nervous; to start thinking, to rest; to cease, intelligent, strange; uncanny, light aspirations or ambitions for ... | cjk ideograph
14645,(non-classical form of 慈) compassion, mercy, kindness | cjk ideograph
14646,confuse, senile, stupid | cjk ideograph
14647,to debauch; to dissipate; to act uninhibitively or disrespectfully | cjk ideograph
14648,uneasy; disturbed; not feeling at peace | cjk ideograph
14649,hatred; grudge; enmity; animosity, (interchangeable 救) to save; to relieve; to rescue; to deliver; to aid | cjk ideograph
14650,(corrupted form of 慌) blurred; dim, obscure; confused in mind | cjk ideograph
14651,stupid; clumsy; (cant.) to dirty, defile | cjk ideograph
14653,(simplified form of 懤) grieved, pained | cjk ideograph
14654,not doing well; disappointed; very discouraged; frustrate (same as 憛) worried; anxious; apprehensive, to lose head; to lose self-possession | cjk ideograph
14655,to love; to be fond of, love; affection; kindness, willingly; willing, joyous; happy, to fail to remember; to forget | cjk ideograph
14656,exclusive; special (same as 德) morality; virtues, behavior; conduct | cjk ideograph
14657,(same as u+5fb7 德) morality; virtues, behavior; conduct | cjk ideograph
14658,quick; fast, sharp, to move the mind; agitated; nervous; to start thinking, to fear; to dread; to be scared of, to get; to obtain | cjk ideograph
14659,(a variant of 悶) mournful, sorrowful, melancholy; depressed, to stupefy | cjk ideograph
14660,to pity; to commiserate; to have sympathy or compassion for, scared; afraid; fearful | cjk ideograph
14661,used in a person's name, pensive | cjk ideograph
14662,indulgent and without restraint, to abandon oneself to carnal desire; to be dissolute; to debauched, to forget, slow; to delay | cjk ideograph
14663,to be perverse; to act contrary to, jealous; to envy; jealousy, obstinate; stubborn, fierce; truculent | cjk ideograph
14664,(interchangeable 惵) afraid; fearful; terrified, peaceful; quiet; calm; safe; secure; stable | cjk ideograph
14665,a little angry | cjk ideograph
14666,angry, (same as 恲) generous; unselfish; liberal | cjk ideograph
14667,sound of the anguish of sorrow; the pain of grief | cjk ideograph
14668,prudent; cautious | cjk ideograph
14669,(same as 惎) to bear jealous hatred for; to hate; to hold a grudge against, to injure atrociously; to murder | cjk ideograph
14670,(abbreviated form) to resent; to hate, to neglect; negligent, joy; delight; gratification | cjk ideograph
14671,bashful; shy; ashamed | cjk ideograph
14672,(ancient form of 怨) hatred; enmity; resentment, to complain; to blame; to impute | cjk ideograph
14673,(corrupted form) (standard form of 憂) sad; mournful; grieved; to worry about; concerned over; anxious; apprehensive | cjk ideograph
14674,corrupt; wicked, to hate; to dislike, (same as 猜) to be jealous and suspicious, cunning; crafty | cjk ideograph
14675,happy; contented; pleased, fragile, nearly; almost, cunning; crafty | cjk ideograph
14676,to move the mind; agitated; nervous; to start thinking | cjk ideograph
14677,(ancient form of 憐) to pity; to commiserate; to feel tender regard for | cjk ideograph
14678,red color | cjk ideograph
14682,melancholy; grievous; mournful; sad, to fear; to dread; to be scared of | cjk ideograph
14683,with expedition; urgent; hasty, anxious; worried, respectfully serious; to take careful precautions; to do something in a serious manner, to love; to like; to be fond of; to be kind to | cjk ideograph
14684,unsuccessful in one's career; to have not one's ambition fulfilled, generous; unselfish; liberal, uneasy; disturbed; not feeling at peace | cjk ideograph
14685,to arouse to action; to encourage, to temper and grind; to train or discipline oneself (toward a goal); to sharpen (a knife); to forge to harden, (same as 弭) to stop; to end; to eliminate | cjk ideograph
14686,to think deeply, to think far ahead, profound and abstruse thinking, careful deliberations; to think and contemplate thoroughly | cjk ideograph
14687,enmity; animus; ill-will | cjk ideograph
14688,(same as 諝) intelligence; brilliance, shrewdness; cunning; quick-witted and full of tricks; tricky | cjk ideograph
14689,idle; shiftless | cjk ideograph
14690,bad; evil; wicked; vice, overbearing; haughty, melancholy; depressed; dejected; cheerless; despondent, considerations; contemplations; to think carefully; to turn over and over in the mind | cjk ideograph
14691,(ancient form of 惠) to benefit; to profit; to favor, kind; benevolent; gracious; gentle | cjk ideograph
14692,(non-classical form of 矜) to pity; to feel for, to have compassion on, sympathetic | cjk ideograph
14693,absent-minded; unconscious, happy; glad; joyous | cjk ideograph
14694,(a variant of 愜) satisfied; contented; cheerful, appropriate; fitting; apposite, to have one's heart won; to summit; admire, etc. sincerely and willingly | cjk ideograph
14695,(ancient form of 順) to follow; to obedient; agreeable; favorable, convenient; smooth | cjk ideograph
14696,unhappy displeased, anger; rage; angry; furious | cjk ideograph
14697,idle; lazy; slothful; inactive | cjk ideograph
14698,(simplified form of u+617a 慺) diligent; industrious; sedulous, to encourage; to make efforts | cjk ideograph
14699,(a variant of 惇) honest; sincere; kind; generous | cjk ideograph
14700,fear; dread; fright; scare | cjk ideograph
14701,luxury; waste; wasteful; prodigal; extravagant | cjk ideograph
14702,obstinate; stubborn; opinionated; obstinacy; stubbornness; intransigent, truculent; savage, ferocious; fierce | cjk ideograph
14703,careful; compassionate; to take an interest in; prudent; cautious, worried and grieved | cjk ideograph
14704,mournful; melancholy; distressed; grieved; sad | cjk ideograph
14705,(same as 悱) to be desirous of speaking; inarticulate; unable to give vent to one's emotion, sorrowful | cjk ideograph
14706,(same as 謓) anger; rage; angry; furious, (ancient form 慎) cautious; careful; scrupulous; prudent | cjk ideograph
14707,to survey; to measure; mensuration | cjk ideograph
14708,do not care about something; disregard, to be ashamed | cjk ideograph
14709,(a variant of 慁) to dishonour; to disgrace; to distress, grief; shame; to disobey, to be anxious; to be apprehensive; to worry, to disturb or to agitate; to harass, confused and disorderly | cjk ideograph
14710,(same as 塞) (same as 愆) to fill up; full of; filled with; rich in contents; abundance, a fault; a mistake, to exceed; to be more than, to surpass | cjk ideograph
14711,(same as 瘱) quiet; calm; still peaceful, gracefully quiet, clear and evident; obvious, deep and far; profound and abstruse, to conceal; to hide | cjk ideograph
14712,(ancient form of 愍) to sympathize with; to pity; to grieve; to commiserate | cjk ideograph
14713,to move | cjk ideograph
14714,(same as 熆) to blow a fire | cjk ideograph
14716,to be near to, close to, to recollect; to recall; to look back upon | cjk ideograph
14717,feeling; emotion, fact, love; affection, nature; reason, (same as 責) one's duty, responsibility; obligation, etc., to demand; to punish, to upbraid | cjk ideograph
14718,mortified; ashamed | cjk ideograph
14719,(same as 慠) proud; haughty; over bearing rude | cjk ideograph
14720,joy; delight; gratification | cjk ideograph
14721,to sob; to weep, to pay attention, to be careful; to take care; to exercise caution | cjk ideograph
14722,(ancient form of 常) constantly, frequently, usually habitually, regular, common, a rule, a principle | cjk ideograph
14723,perfect personal character, many; much; plenty; lots of | cjk ideograph
14724,hard to say or predict, difficult to speak out (for fear of embarrassing or paining others, etc.) not easy to express with words | cjk ideograph
14725,(same as 慸) uneasy; feeling uneasy or uncomfortable; not feeling at peace | cjk ideograph
14726,to exaggerate; exaggeration, arrogant; showing wild imagination; preposterously fantastic, without ambition; discourage | cjk ideograph
14727,a peaceful or easy mood; calm at mind, to move; to turn the mind, conversion | cjk ideograph
14729,(ancient form of 懿) virtuous, especially women, admirable; esteemed; excellent | cjk ideograph
14730,lavish; luxurious, wasteful | cjk ideograph
14731,absurd; wild; nonsensical; showing wild imagination; preposterously fantastic | cjk ideograph
14732,keen or sharp; clever; simple and honest, sound sleep or slumber; a deep sleep, to wake up from sleep | cjk ideograph
14733,(same as 愕) to be startled, alarmed, to speak out; to speak up, frank statement, an obstacle or hindrance; to obstruct; to impede; unwilling; disagreeable | cjk ideograph
14734,cantankerous; perverse, stupid; dull, ignorant, to divide clearly; without ambiguity, gracefully quiet | cjk ideograph
14735,weak; feeble, joy; delight; gratification | cjk ideograph
14736,a straightforward character, cannot make up one's mind; to hesitate | cjk ideograph
14737,anger; rage; angry; furious, silly; stupid; foolish | cjk ideograph
14738,to deceived, loquacious | cjk ideograph
14739,difficult intention, difficult idea or sentiment, weakened volition; dejected, fear; scare; fright | cjk ideograph
14740,(same as 懕) sickly, in poor health, undisturbed; composed; calm; quiet, to satisfy or be satisfied to gratify or be gratified; (same as 厭) content; gratification | cjk ideograph
14741,thought; idea; sentiment, intention, expectation, meaning | cjk ideograph
14742,(same as 懣) resentful; sullen; sulky; anger (especially at injustice) indignant, annoyed; depressed; bored | cjk ideograph
14743,diligent; sedulous; industrious, with a strong will power | cjk ideograph
14744,(same as 憿) swift; rapid; quick; fast, by luck or chance | cjk ideograph
14746,melancholy; grievous; mournful, urgent; pressing | cjk ideograph
14747,to walk in a composed (comfortable) way, respectful; reverent | cjk ideograph
14748,to move the mind; agitated; nervous; to start thinking, melancholy; grievous; mournful, (same as 驚) to surprise; to amaze, afraid; scared; terrified; fearful | cjk ideograph
14749,beautiful; pretty, good; excellent, to usurp; to outrage, to draw; to sketch | cjk ideograph
14750,(same as 懤) grieved; pained; in deep grief; to lament deeply | cjk ideograph
14751,intelligent; astute; clever | cjk ideograph
14753,(non-classical form of 樂) happy; glad, joyful, cheerful; elated; content; delighted; pleased; willing, enjoyable | cjk ideograph
14754,pure; virtuous; devotion; dedication, to have bearings; to have manners | cjk ideograph
14755,to talk in one's sleep | cjk ideograph
14756,virtuous, especially of women, admirable, esteemed, excellent | cjk ideograph
14757,(same as 愋) talented; intelligent; wise wisdom; knowledge, to resent; to hate, to regret | cjk ideograph
14758,apprehensive; fearful; afraid, ashamed, uneasy in mind; not feeling at peace; disturbed | cjk ideograph
14759,(same as u+61af 憯 u+6158 慘) sad; sorrowful; grieved; miserable; tragic | cjk ideograph
